loc_index,x,y
0.000000000000000000e+00,-2.197083399999999465e+00,-1.939279999999999893e-01
1.000000000000000000e+00,-2.196083323043943825e+00,-1.939106155412647359e-01
2.000000000000000000e+00,-2.195083246087888185e+00,-1.938932310825294547e-01
3.000000000000000000e+00,-2.194083169131832101e+00,-1.938758466237942013e-01
4.000000000000000000e+00,-2.193083092175776461e+00,-1.938584621650589479e-01
5.000000000000000000e+00,-2.192083015219720821e+00,-1.938410777063236667e-01
6.000000000000000000e+00,-2.191082938263665181e+00,-1.938236932475884133e-01
7.000000000000000000e+00,-2.190082861307609541e+00,-1.938063087888531599e-01
8.000000000000000000e+00,-2.189082784351553457e+00,-1.937889243301178788e-01
9.000000000000000000e+00,-2.188082707395497817e+00,-1.937715398713826254e-01
1.000000000000000000e+01,-2.187082630439442177e+00,-1.937541554126473720e-01
1.100000000000000000e+01,-2.186082553483386537e+00,-1.937367709539120908e-01
1.200000000000000000e+01,-2.185082476527330453e+00,-1.937193864951768374e-01
1.300000000000000000e+01,-2.184082399571274813e+00,-1.937020020364415840e-01
1.400000000000000000e+01,-2.183082322615219173e+00,-1.936846175777063028e-01
1.500000000000000000e+01,-2.182082245659163533e+00,-1.936672331189710494e-01
1.600000000000000000e+01,-2.181082168703107893e+00,-1.936498486602357960e-01
1.700000000000000000e+01,-2.180082091747051809e+00,-1.936324642015005149e-01
1.800000000000000000e+01,-2.179082014790996169e+00,-1.936150797427652615e-01
1.900000000000000000e+01,-2.178081937834940529e+00,-1.935976952840300080e-01
2.000000000000000000e+01,-2.177081860878884889e+00,-1.935803108252947269e-01
2.100000000000000000e+01,-2.176081783922829249e+00,-1.935629263665594735e-01
2.200000000000000000e+01,-2.175081706966773165e+00,-1.935455419078242201e-01
2.300000000000000000e+01,-2.174081630010717525e+00,-1.935281574490889389e-01
2.400000000000000000e+01,-2.173081553054661885e+00,-1.935107729903536855e-01
2.500000000000000000e+01,-2.172081476098606245e+00,-1.934933885316184321e-01
2.600000000000000000e+01,-2.171081399142550161e+00,-1.934760040728831509e-01
2.700000000000000000e+01,-2.170081322186494521e+00,-1.934586196141478975e-01
2.800000000000000000e+01,-2.169081245230438881e+00,-1.934412351554126441e-01
2.900000000000000000e+01,-2.168081168274383241e+00,-1.934238506966773630e-01
3.000000000000000000e+01,-2.167081091318327601e+00,-1.934064662379421096e-01
3.100000000000000000e+01,-2.166081014362271517e+00,-1.933890817792068562e-01
3.200000000000000000e+01,-2.165080937406215877e+00,-1.933716973204715750e-01
3.300000000000000000e+01,-2.164080860450160237e+00,-1.933543128617363216e-01
3.400000000000000000e+01,-2.163080783494104598e+00,-1.933369284030010682e-01
3.500000000000000000e+01,-2.162080706538048958e+00,-1.933195439442657870e-01
3.600000000000000000e+01,-2.161080629581992874e+00,-1.933021594855305336e-01
3.700000000000000000e+01,-2.160080552625937234e+00,-1.932847750267952802e-01
3.800000000000000000e+01,-2.159080475669881594e+00,-1.932673905680599991e-01
3.900000000000000000e+01,-2.158080398713825954e+00,-1.932500061093247457e-01
4.000000000000000000e+01,-2.157080321757770314e+00,-1.932326216505894922e-01
4.100000000000000000e+01,-2.156080244801714230e+00,-1.932152371918542111e-01
4.200000000000000000e+01,-2.155080167845658590e+00,-1.931978527331189577e-01
4.300000000000000000e+01,-2.154080090889602950e+00,-1.931804682743837043e-01
4.400000000000000000e+01,-2.153080013933547310e+00,-1.931630838156484231e-01
4.500000000000000000e+01,-2.152079936977491226e+00,-1.931456993569131697e-01
4.600000000000000000e+01,-2.151079860021435586e+00,-1.931283148981779163e-01
4.700000000000000000e+01,-2.150079783065379946e+00,-1.931109304394426351e-01
4.800000000000000000e+01,-2.149079706109324306e+00,-1.930935459807073817e-01
4.900000000000000000e+01,-2.148079629153268666e+00,-1.930761615219721283e-01
5.000000000000000000e+01,-2.147079552197212582e+00,-1.930587770632368472e-01
5.100000000000000000e+01,-2.146079475241156942e+00,-1.930413926045015938e-01
5.200000000000000000e+01,-2.145079398285101302e+00,-1.930240081457663404e-01
5.300000000000000000e+01,-2.144079321329045662e+00,-1.930066236870310592e-01
5.400000000000000000e+01,-2.143079244372990022e+00,-1.929892392282958058e-01
5.500000000000000000e+01,-2.142079167416933938e+00,-1.929718547695605524e-01
5.600000000000000000e+01,-2.141079090460878298e+00,-1.929544703108252712e-01
5.700000000000000000e+01,-2.140079013504822658e+00,-1.929370858520900178e-01
5.800000000000000000e+01,-2.139078936548767018e+00,-1.929197013933547644e-01
5.900000000000000000e+01,-2.138078859592710934e+00,-1.929023169346194833e-01
6.000000000000000000e+01,-2.137078782636655294e+00,-1.928849324758842299e-01
6.100000000000000000e+01,-2.136078705680599654e+00,-1.928675480171489764e-01
6.200000000000000000e+01,-2.135078628724544014e+00,-1.928501635584136953e-01
6.300000000000000000e+01,-2.134078551768488374e+00,-1.928327790996784419e-01
6.400000000000000000e+01,-2.133078474812432290e+00,-1.928153946409431885e-01
6.500000000000000000e+01,-2.132078397856376650e+00,-1.927980101822079073e-01
6.600000000000000000e+01,-2.131078320900321010e+00,-1.927806257234726539e-01
6.700000000000000000e+01,-2.130078243944265370e+00,-1.927632412647374005e-01
6.800000000000000000e+01,-2.129078166988209730e+00,-1.927458568060021193e-01
6.900000000000000000e+01,-2.128078090032153646e+00,-1.927284723472668659e-01
7.000000000000000000e+01,-2.127078013076098006e+00,-1.927110878885316125e-01
7.100000000000000000e+01,-2.126077936120042366e+00,-1.926937034297963591e-01
7.200000000000000000e+01,-2.125077859163986727e+00,-1.926763189710610780e-01
7.300000000000000000e+01,-2.124077782207931087e+00,-1.926589345123258246e-01
7.400000000000000000e+01,-2.123077705251875003e+00,-1.926415500535905712e-01
7.500000000000000000e+01,-2.122077628295819363e+00,-1.926241655948552900e-01
7.600000000000000000e+01,-2.121077551339763723e+00,-1.926067811361200366e-01
7.700000000000000000e+01,-2.120077474383708083e+00,-1.925893966773847832e-01
7.800000000000000000e+01,-2.119077397427651999e+00,-1.925720122186495020e-01
7.900000000000000000e+01,-2.118077320471596359e+00,-1.925546277599142486e-01
8.000000000000000000e+01,-2.117077243515540719e+00,-1.925372433011789952e-01
8.100000000000000000e+01,-2.116077166559485079e+00,-1.925198588424437141e-01
8.200000000000000000e+01,-2.115077089603429439e+00,-1.925024743837084606e-01
8.300000000000000000e+01,-2.114077012647373355e+00,-1.924850899249732072e-01
8.400000000000000000e+01,-2.113076935691317715e+00,-1.924677054662379261e-01
8.500000000000000000e+01,-2.112076858735262075e+00,-1.924503210075026727e-01
8.600000000000000000e+01,-2.111076781779206435e+00,-1.924329365487674193e-01
8.700000000000000000e+01,-2.110076704823150795e+00,-1.924155520900321381e-01
8.800000000000000000e+01,-2.109076627867094711e+00,-1.923981676312968847e-01
8.900000000000000000e+01,-2.108076550911039071e+00,-1.923807831725616313e-01
9.000000000000000000e+01,-2.107076473954983431e+00,-1.923633987138263501e-01
9.100000000000000000e+01,-2.106076396998927791e+00,-1.923460142550910967e-01
9.200000000000000000e+01,-2.105076320042871707e+00,-1.923286297963558433e-01
9.300000000000000000e+01,-2.104076243086816067e+00,-1.923112453376205622e-01
9.400000000000000000e+01,-2.103076166130760427e+00,-1.922938608788853088e-01
9.500000000000000000e+01,-2.102076089174704787e+00,-1.922764764201500554e-01
9.600000000000000000e+01,-2.101076012218649147e+00,-1.922590919614147742e-01
9.700000000000000000e+01,-2.100075935262593063e+00,-1.922417075026795208e-01
9.800000000000000000e+01,-2.099075858306537423e+00,-1.922243230439442674e-01
9.900000000000000000e+01,-2.098075781350481783e+00,-1.922069385852089862e-01
1.000000000000000000e+02,-2.097075704394426143e+00,-1.921895541264737328e-01
1.010000000000000000e+02,-2.096075627438370503e+00,-1.921721696677384794e-01
