# GPR Scan Data - Comprehensive High-Frequency Logging
# Start Time: 20251014_114048
# GPR Velocity (m/s): 0.5
# Log Frequency (Hz): 50.0
# GPR Wheel Radius (m): 0.03
# Fast-LIO Topic: /Odometry
# GPR Motor Start Delay: 0.5 s
# Post-Stop Duration: 1.5 s
#
# Timestamp Format: Microseconds (µs) since epoch
# Time Sync: Both fastlio_time_us and gpr_time_us use ROS time
#
# Event Types:
#   KEY_PRESS_START - Scan key pressed, 50Hz logging begins
#   ARDUINO_START - Linear actuator starting
#   PRE_MOTOR - Waiting for motor start (50Hz logging active)
#   GPR_MOTOR_START - GPR motor velocity command sent
#   SCANNING - Normal scanning operation (50Hz logging)
#   KEY_PRESS_STOP - Stop key pressed (50Hz continues)
#   MOTOR_STOPPING - Stopping motor (50Hz continues)
#   POST_STOP - After motor stopped (50Hz continues)
#   ARDUINO_STOP - Linear actuator stopping
#
seq,event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,gpr_position,gpr_velocity
0,KEY_PRESS_START,1760456448065728,1760456448062982,-2.194695,-0.190563,-0.011367,-0.005924,0.127539,0.023489,0.991538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.695450,-0.373036
1,ARDUINO_START,1760456448065728,1760456448062982,-2.194695,-0.190563,-0.011367,-0.005924,0.127539,0.023489,0.991538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.695450,-0.373036
2,SCANNING,1760456449165067,1760456448149740,-2.195487,-0.190731,-0.011485,-0.005938,0.127482,0.023385,0.991547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.697609,0.737093
3,SCANNING,1760456449265034,1760456450060959,-2.196961,-0.191396,-0.010310,-0.005917,0.127511,0.023448,0.991542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.695145,-0.664414
4,SCANNING,1760456449365593,1760456450060959,-2.197445,-0.191849,-0.008848,-0.005921,0.127434,0.023358,0.991554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.695145,-0.664414
5,SCANNING,1760456449465679,1760456450060959,-2.196650,-0.192095,-0.006546,-0.005915,0.127335,0.023451,0.991565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.695145,-0.664414
6,SCANNING,1760456449565584,1760456450060959,-2.194601,-0.191996,-0.006659,-0.005903,0.127353,0.023335,0.991565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.695145,-0.664414
7,SCANNING,1760456449665645,1760456450060959,-2.194732,-0.191047,-0.007509,-0.005957,0.127443,0.023549,0.991548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.695145,-0.664414
8,SCANNING,1760456449765791,1760456450060959,-2.193445,-0.191082,-0.009767,-0.006044,0.127483,0.023453,0.991545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.695145,-0.664414
9,SCANNING,1760456449865663,1760456450060959,-2.194885,-0.190288,-0.011910,-0.006140,0.127573,0.023578,0.991530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.695145,-0.664414
10,SCANNING,1760456449965596,1760456450060959,-2.194734,-0.190632,-0.013968,-0.006137,0.127670,0.023424,0.991521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.695145,-0.664414
11,SCANNING,1760456450065728,1760456450069604,-2.195744,-0.192324,-0.013486,-0.006125,0.127662,0.023457,0.991521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.697906,0.355458
12,SCANNING,1760456450165664,1760456450169613,-2.197228,-0.193840,-0.013786,-0.006104,0.127711,0.023402,0.991517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.696243,0.153965
13,SCANNING,1760456450265645,1760456450269137,-2.198037,-0.194807,-0.012120,-0.006029,0.127677,0.023580,0.991517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,105.925255,3.053073
14,SCANNING,1760456450365689,1760456450369421,-2.196786,-0.194647,-0.011073,-0.005986,0.127626,0.023442,0.991527,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106.187637,0.998325
15,SCANNING,1760456450465647,1760456450469612,-2.196884,-0.193936,-0.010138,-0.006051,0.127633,0.023538,0.991524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106.460426,1.972698
16,SCANNING,1760456450565735,1760456450569534,-2.196482,-0.192410,-0.009309,-0.006070,0.127610,0.023514,0.991527,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106.725784,3.841465
17,GPR_MOTOR_START,1760456450565735,1760456450569534,-2.196482,-0.192410,-0.009309,-0.006070,0.127610,0.023514,0.991527,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106.725784,3.841465
18,SCANNING,1760456450665845,1760456450669603,-2.197310,-0.190021,-0.009368,-0.006140,0.127591,0.023572,0.991528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106.988823,1.019342
19,SCANNING,1760456450765715,1760456450769045,-2.199334,-0.187593,-0.010582,-0.006140,0.127630,0.023471,0.991525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,107.212532,2.390631
20,SCANNING,1760456450865684,1760456450869172,-2.202572,-0.186541,-0.012527,-0.006183,0.127801,0.023620,0.991499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,107.478584,4.930632
21,SCANNING,1760456450965708,1760456450968711,-2.203944,-0.185445,-0.013479,-0.006111,0.127698,0.023501,0.991516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,107.743591,1.899038
22,SCANNING,1760456451065618,1760456451068925,-2.205817,-0.185687,-0.013233,-0.006153,0.127719,0.023639,0.991510,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108.013199,2.948699
23,SCANNING,1760456451165636,1760456451169137,-2.205561,-0.186683,-0.012535,-0.006018,0.127681,0.023560,0.991517,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108.271675,2.558015
24,SCANNING,1760456451265729,1760456451269062,-2.205229,-0.187769,-0.011464,-0.006058,0.127619,0.023591,0.991524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108.540703,3.240581
25,SCANNING,1760456451365722,1760456451368777,-2.202025,-0.188913,-0.009490,-0.005932,0.127506,0.023585,0.991540,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,108.800034,1.171642
26,SCANNING,1760456451465710,1760456451469136,-2.201945,-0.190865,-0.009023,-0.006014,0.127648,0.023831,0.991515,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.070595,3.201041
27,SCANNING,1760456451565653,1760456451569163,-2.199633,-0.193623,-0.009092,-0.005872,0.127650,0.023665,0.991519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.336250,4.119940
28,SCANNING,1760456451665585,1760456451668739,-2.196864,-0.195714,-0.007480,-0.005979,0.127589,0.023679,0.991526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.599266,2.104300
29,SCANNING,1760456451765711,1760456451768783,-2.194356,-0.198688,-0.006429,-0.005873,0.127623,0.023638,0.991524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109.865799,2.980648
30,SCANNING,1760456451865713,1760456451869148,-2.193666,-0.200501,-0.005326,-0.005878,0.127513,0.023481,0.991541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.133118,3.201776
31,SCANNING,1760456451965671,1760456451968604,-2.191410,-0.200798,-0.003957,-0.005792,0.127450,0.023334,0.991554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.399368,3.735844
32,SCANNING,1760456452065787,1760456452070001,-2.191575,-0.199348,-0.003510,-0.005960,0.127428,0.023528,0.991551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.656509,1.652825
33,SCANNING,1760456452165748,1760456452168538,-2.192626,-0.198815,-0.002803,-0.005884,0.127378,0.023438,0.991560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,110.922775,3.041496
34,SCANNING,1760456452265588,1760456452269970,-2.193009,-0.196388,-0.002235,-0.005941,0.127329,0.023458,0.991565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.186134,1.698953
35,SCANNING,1760456452365625,1760456452368576,-2.194670,-0.195972,-0.002338,-0.006001,0.127431,0.023567,0.991549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.457939,3.452713
36,SCANNING,1760456452465756,1760456452469953,-2.195466,-0.196434,-0.002523,-0.005986,0.127407,0.023562,0.991553,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.717789,1.599754
37,SCANNING,1760456452565709,1760456452567780,-2.197108,-0.196815,-0.002651,-0.005874,0.127414,0.023481,0.991554,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,111.986305,0.849402
38,SCANNING,1760456452665611,1760456452668245,-2.197899,-0.196824,-0.003777,-0.005886,0.127520,0.023598,0.991538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112.249252,3.134821
39,SCANNING,1760456452765682,1760456452768333,-2.199434,-0.198175,-0.005371,-0.005874,0.127608,0.023535,0.991528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112.514542,2.404891
40,SCANNING,1760456452865714,1760456452868212,-2.199445,-0.198203,-0.005819,-0.005804,0.127469,0.023571,0.991545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,112.774345,1.424242
41,SCANNING,1760456452965637,1760456452968269,-2.196837,-0.199387,-0.005400,-0.005679,0.127554,0.023481,0.991537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.043930,1.728188
42,SCANNING,1760456453065779,1760456453067741,-2.190645,-0.201352,-0.005313,-0.005705,0.127540,0.023513,0.991538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.315918,4.466082
43,SCANNING,1760456453165607,1760456453157744,-2.181364,-0.201628,-0.007561,-0.005648,0.127672,0.023557,0.991521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.544281,1.769949
44,SCANNING,1760456453265757,1760456453256808,-2.167080,-0.201133,-0.008955,-0.005520,0.127830,0.023736,0.991497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,113.819641,4.517618
45,SCANNING,1760456453365763,1760456453356741,-2.145883,-0.199174,-0.010333,-0.005530,0.128119,0.023628,0.991462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,114.076637,1.936131
46,SCANNING,1760456453465640,1760456453456696,-2.121400,-0.194552,-0.010458,-0.005570,0.128003,0.023676,0.991475,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,114.348862,3.173454
47,SCANNING,1760456453565717,1760456453568165,-2.090680,-0.189633,-0.010536,-0.005629,0.127801,0.023354,0.991509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,114.629967,1.692921
48,SCANNING,1760456453665655,1760456453656739,-2.057152,-0.186765,-0.007399,-0.005668,0.127624,0.023023,0.991539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,114.875580,2.770751
49,SCANNING,1760456453765663,1760456453766779,-2.021294,-0.182972,-0.005062,-0.005919,0.127224,0.022514,0.991601,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.160583,1.070075
50,SCANNING,1760456453865793,1760456453856717,-1.985478,-0.181114,-0.002912,-0.006050,0.126702,0.022031,0.991678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.405724,1.999275
51,SCANNING,1760456453965777,1760456453956677,-1.949164,-0.179864,-0.001944,-0.006249,0.126540,0.021529,0.991708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.673447,4.287674
52,SCANNING,1760456454065661,1760456454056757,-1.914740,-0.179595,-0.001438,-0.006365,0.126538,0.021131,0.991716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,115.930725,2.015193
53,SCANNING,1760456454165687,1760456454166650,-1.880263,-0.178090,-0.002043,-0.006339,0.126437,0.020448,0.991744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,116.224342,3.679656
54,SCANNING,1760456454265637,1760456454267731,-1.848313,-0.178339,-0.003180,-0.006249,0.126571,0.020141,0.991733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,116.491501,1.120187
55,SCANNING,1760456454364960,1760456454366699,-1.816679,-0.177717,-0.006202,-0.006107,0.126815,0.019881,0.991708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,116.760063,3.402672
56,SCANNING,1760456454465773,1760456454466780,-1.786945,-0.179004,-0.008702,-0.005979,0.126651,0.019603,0.991736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117.017639,2.149353
57,SCANNING,1760456454565703,1760456454555745,-1.755439,-0.179860,-0.008082,-0.005598,0.126685,0.019377,0.991738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117.261452,3.261066
58,SCANNING,1760456454665739,1760456454655722,-1.727442,-0.183258,-0.008185,-0.005490,0.126841,0.019488,0.991716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117.520294,1.610318
59,SCANNING,1760456454765707,1760456454765731,-1.696758,-0.185070,-0.007099,-0.005386,0.126533,0.019185,0.991762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,117.821404,4.641718
60,SCANNING,1760456454865770,1760456454855734,-1.666719,-0.187162,-0.004470,-0.005475,0.126252,0.018940,0.991802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.046021,1.782111
61,SCANNING,1760456454965708,1760456454967739,-1.635125,-0.186512,-0.003400,-0.005563,0.126104,0.018572,0.991828,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.349037,2.727234
62,SCANNING,1760456455065815,1760456455055717,-1.606474,-0.185114,-0.005102,-0.005908,0.125886,0.018432,0.991856,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.586975,3.659073
63,SCANNING,1760456455165775,1760456455155783,-1.574862,-0.180060,-0.005295,-0.006131,0.125172,0.017888,0.991955,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,118.850136,1.554921
64,SCANNING,1760456455265678,1760456455265692,-1.546837,-0.176632,-0.006942,-0.006183,0.124985,0.017570,0.991984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.129860,0.403788
65,SCANNING,1760456455365639,1760456455365735,-1.519015,-0.173684,-0.007956,-0.006043,0.124683,0.017218,0.992029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.409447,2.123460
66,SCANNING,1760456455465749,1760456455455771,-1.492891,-0.171566,-0.008899,-0.006001,0.124550,0.016993,0.992050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.650421,4.467960
67,SCANNING,1760456455565748,1760456455555771,-1.464918,-0.169294,-0.007904,-0.005717,0.124420,0.016647,0.992074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,119.906647,2.222812
68,SCANNING,1760456455665595,1760456455655711,-1.437094,-0.168921,-0.006748,-0.005409,0.124375,0.016520,0.992083,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.174179,4.310539
69,SCANNING,1760456455765668,1760456455755693,-1.406331,-0.167662,-0.002324,-0.005186,0.124155,0.016509,0.992112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.439232,1.992135
70,SCANNING,1760456455864974,1760456455864715,-1.376865,-0.167255,0.000552,-0.004946,0.124259,0.016331,0.992103,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.739204,3.412827
71,SCANNING,1760456455965498,1760456455954731,-1.349495,-0.166646,0.003393,-0.004497,0.124267,0.016261,0.992105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,120.976448,5.525263
72,SCANNING,1760456456065723,1760456456076689,-1.324056,-0.166960,0.004840,-0.004355,0.124174,0.016067,0.992121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,121.287331,3.906348
73,SCANNING,1760456456165711,1760456456164729,-1.303208,-0.166018,0.005354,-0.004288,0.124141,0.016361,0.992120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,121.521225,2.058159
74,SCANNING,1760456456265659,1760456456264750,-1.285475,-0.166557,0.002965,-0.004368,0.123981,0.016661,0.992135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,121.792297,3.502701
75,SCANNING,1760456456365769,1760456456376710,-1.266544,-0.164836,0.001239,-0.004500,0.123744,0.016937,0.992159,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,122.078896,2.571439
76,SCANNING,1760456456465692,1760456456454738,-1.247010,-0.163129,0.000686,-0.004529,0.123617,0.017080,0.992173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,122.293907,1.715588
77,SCANNING,1760456456565642,1760456456564742,-1.223018,-0.160329,-0.000314,-0.004619,0.123452,0.017134,0.992192,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,122.591904,3.782985
78,SCANNING,1760456456665633,1760456456654841,-1.195982,-0.159256,-0.000403,-0.004424,0.123682,0.016682,0.992172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,122.821838,0.740856
79,SCANNING,1760456456765643,1760456456776172,-1.165887,-0.157719,0.000965,-0.004255,0.123817,0.016056,0.992166,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,123.134491,1.365366
80,SCANNING,1760456456865637,1760456456864753,-1.135066,-0.156898,0.001806,-0.004070,0.123601,0.015764,0.992198,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,123.384033,1.978293
81,SCANNING,1760456456965747,1760456456954779,-1.099844,-0.157397,0.001977,-0.004135,0.123543,0.015252,0.992213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,123.625252,2.481290
82,SCANNING,1760456457065695,1760456457064734,-1.066902,-0.157297,0.001203,-0.003799,0.123840,0.014679,0.992186,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,123.908417,2.434184
83,SCANNING,1760456457165799,1760456457163821,-1.030254,-0.155253,0.000924,-0.003853,0.123518,0.014419,0.992230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,124.177536,3.728634
84,SCANNING,1760456457265132,1760456457266638,-0.996772,-0.152656,0.000226,-0.003542,0.123705,0.014039,0.992213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,124.441383,2.098155
85,SCANNING,1760456457364950,1760456457363721,-0.963374,-0.151593,-0.001064,-0.003473,0.124058,0.013583,0.992176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,124.710045,1.678055
86,SCANNING,1760456457465791,1760456457463763,-0.930731,-0.149255,-0.002179,-0.003228,0.124254,0.013278,0.992156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,124.974319,4.772555
87,SCANNING,1760456457565753,1760456457563719,-0.901233,-0.148812,-0.004495,-0.003437,0.123933,0.013368,0.992195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,125.237350,3.722897
