# GPR Scan Data - Comprehensive High-Frequency Logging
# Start Time: 20251107_130955
# GPR Velocity (m/s): 0.5
# Log Frequency (Hz): 50.0
# GPR Wheel Radius (m): 0.03
# Fast-LIO Topic: /Odometry_tilt_corrected_diff
# GPR Motor Start Delay: 0.5 s
# Post-Stop Duration: 1.5 s
#
# Timestamp Format: Microseconds (µs) since epoch
# Time Sync: Both fastlio_time_us and gpr_time_us use ROS time
#
# Event Types:
#   KEY_PRESS_START - Scan key pressed, 50Hz logging begins
#   ARDUINO_START - Linear actuator starting
#   PRE_MOTOR - Waiting for motor start (50Hz logging active)
#   GPR_MOTOR_START - GPR motor velocity command sent
#   SCANNING - Normal scanning operation (50Hz logging)
#   KEY_PRESS_STOP - Stop key pressed (50Hz continues)
#   MOTOR_STOPPING - Stopping motor (50Hz continues)
#   POST_STOP - After motor stopped (50Hz continues)
#   ARDUINO_STOP - Linear actuator stopping
#
seq,event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,gpr_position,gpr_velocity,left_position,right_position
0,KEY_PRESS_START,1762538995434523,1762538995435471,0.013086,0.001550,0.020073,0.007265,0.147682,0.071605,0.986413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1154.317993,0.121018
1,ARDUINO_START,1762538995434523,1762538995435471,0.013086,0.001550,0.020073,0.007265,0.147682,0.071605,0.986413,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1154.317993,0.121018
2,PRE_MOTOR,1762538996539001,1762538997423349,0.009050,-0.004674,0.016691,0.007648,0.147684,0.070381,0.986498,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1154.317627,-0.249657,64.060677,-58.957413
3,PRE_MOTOR,1762538996638971,1762538997432556,0.011468,-0.004973,0.018080,0.008025,0.147976,0.071543,0.986367,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1154.318359,-0.015097,64.060669,-58.957413
4,PRE_MOTOR,1762538996738972,1762538997441593,0.011208,-0.000266,0.019289,0.007802,0.147483,0.071177,0.986469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1154.319702,0.362446,64.060669,-58.957417
5,PRE_MOTOR,1762538996838994,1762538997451297,0.007881,0.001538,0.019581,0.007689,0.147628,0.071714,0.986410,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1154.317871,-0.535096,64.060677,-58.957413
6,PRE_MOTOR,1762538996939242,1762538997461161,0.010700,0.001827,0.021597,0.008070,0.147707,0.071517,0.986409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1154.318970,-0.195364,64.060669,-58.957413
7,PRE_MOTOR,1762538997039294,1762538997471092,0.012915,0.002558,0.021647,0.008112,0.147703,0.072271,0.986354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1154.318604,-0.241915,64.060677,-58.957409
8,PRE_MOTOR,1762538997139350,1762538997481449,0.011617,-0.000817,0.021095,0.008100,0.147412,0.072292,0.986396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1154.317993,-0.242236,64.060669,-58.957413
9,PRE_MOTOR,1762538997239375,1762538997491118,0.011971,-0.001745,0.021267,0.008075,0.147362,0.071405,0.986469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1154.318359,0.052204,64.060669,-58.957413
10,PRE_MOTOR,1762538997339286,1762538997501094,0.013050,-0.004299,0.020513,0.007990,0.147115,0.071127,0.986526,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1154.318848,0.292098,64.060677,-58.957413
11,PRE_MOTOR,1762538997439007,1762538997511111,0.012054,-0.000438,0.017258,0.007746,0.147489,0.071177,0.986469,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1154.318970,0.065391,64.060669,-58.957413
12,PRE_MOTOR,,1762538997533294,,,,,,,,,,,,,,1154.319092,-0.224146,64.060677,-58.957413
