loc_index,x,y
0.000000000000000000e+00,-6.346200000000000625e-03,-3.206960000000000366e-02
1.000000000000000000e+00,3.668202721088435238e-03,-3.246437823129252193e-02
2.000000000000000000e+00,1.368260544217687197e-02,-3.285915646258504019e-02
3.000000000000000000e+00,2.369700816326530263e-02,-3.325393469387755152e-02
4.000000000000000000e+00,3.371141088435374022e-02,-3.364871292517006979e-02
5.000000000000000000e+00,4.372581360544217088e-02,-3.404349115646258805e-02
6.000000000000000000e+00,5.374021632653060154e-02,-3.443826938775510632e-02
7.000000000000000000e+00,6.375461904761904608e-02,-3.483304761904762459e-02
8.000000000000000000e+00,7.376902176870749062e-02,-3.522782585034013592e-02
9.000000000000000000e+00,8.378342448979592128e-02,-3.562260408163265418e-02
1.000000000000000000e+01,9.379782721088435193e-02,-3.601738231292517245e-02
1.100000000000000000e+01,1.038122299319727965e-01,-3.641216054421769072e-02
1.200000000000000000e+01,1.138266326530612133e-01,-3.680693877551020898e-02
1.300000000000000000e+01,1.238410353741496717e-01,-3.720171700680272725e-02
1.400000000000000000e+01,1.338554380952380884e-01,-3.759649523809523858e-02
1.500000000000000000e+01,1.438698408163265330e-01,-3.799127346938775684e-02
1.600000000000000000e+01,1.538842435374149775e-01,-3.838605170068027511e-02
1.700000000000000000e+01,1.638986462585033943e-01,-3.878082993197279338e-02
1.800000000000000000e+01,1.739130489795918388e-01,-3.917560816326531165e-02
1.900000000000000000e+01,1.839274517006802834e-01,-3.957038639455782991e-02
2.000000000000000000e+01,1.939418544217687002e-01,-3.996516462585034124e-02
2.100000000000000000e+01,2.039562571428571447e-01,-4.035994285714285951e-02
2.200000000000000000e+01,2.139706598639455892e-01,-4.075472108843537777e-02
2.300000000000000000e+01,2.239850625850340338e-01,-4.114949931972789604e-02
2.400000000000000000e+01,2.339994653061224228e-01,-4.154427755102041431e-02
2.500000000000000000e+01,2.440138680272108951e-01,-4.193905578231292564e-02
2.600000000000000000e+01,2.540282707482993119e-01,-4.233383401360544390e-02
2.700000000000000000e+01,2.640426734693877009e-01,-4.272861224489796217e-02
2.800000000000000000e+01,2.740570761904761454e-01,-4.312339047619048044e-02
2.900000000000000000e+01,2.840714789115645900e-01,-4.351816870748299870e-02
3.000000000000000000e+01,2.940858816326530345e-01,-4.391294693877551003e-02
3.100000000000000000e+01,3.041002843537414790e-01,-4.430772517006802830e-02
3.200000000000000000e+01,3.141146870748299236e-01,-4.470250340136054656e-02
3.300000000000000000e+01,3.241290897959183681e-01,-4.509728163265306483e-02
3.400000000000000000e+01,3.341434925170067571e-01,-4.549205986394558310e-02
3.500000000000000000e+01,3.441578952380952017e-01,-4.588683809523809443e-02
3.600000000000000000e+01,3.541722979591836462e-01,-4.628161632653061269e-02
3.700000000000000000e+01,3.641867006802720907e-01,-4.667639455782313096e-02
3.800000000000000000e+01,3.742011034013605353e-01,-4.707117278911564923e-02
3.900000000000000000e+01,3.842155061224489798e-01,-4.746595102040816749e-02
4.000000000000000000e+01,3.942299088435373688e-01,-4.786072925170067882e-02
4.100000000000000000e+01,4.042443115646258134e-01,-4.825550748299320403e-02
4.200000000000000000e+01,4.142587142857142579e-01,-4.865028571428571535e-02
4.300000000000000000e+01,4.242731170068027025e-01,-4.904506394557823362e-02
4.400000000000000000e+01,4.342875197278911470e-01,-4.943984217687075189e-02
4.500000000000000000e+01,4.443019224489795915e-01,-4.983462040816327016e-02
4.600000000000000000e+01,4.543163251700680361e-01,-5.022939863945578842e-02
4.700000000000000000e+01,4.643307278911563696e-01,-5.062417687074829975e-02
4.800000000000000000e+01,4.743451306122448141e-01,-5.101895510204081802e-02
4.900000000000000000e+01,4.843595333333333142e-01,-5.141373333333333628e-02
5.000000000000000000e+01,4.943739360544217587e-01,-5.180851156462584761e-02
5.100000000000000000e+01,5.043883387755102587e-01,-5.220328979591837282e-02
5.200000000000000000e+01,5.144027414965987033e-01,-5.259806802721088415e-02
5.300000000000000000e+01,5.244171442176871478e-01,-5.299284625850340935e-02
5.400000000000000000e+01,5.344315469387754813e-01,-5.338762448979592068e-02
5.500000000000000000e+01,5.444459496598639259e-01,-5.378240272108843201e-02
5.600000000000000000e+01,5.544603523809523704e-01,-5.417718095238095721e-02
5.700000000000000000e+01,5.644747551020408149e-01,-5.457195918367346854e-02
5.800000000000000000e+01,5.744891578231292595e-01,-5.496673741496599375e-02
5.900000000000000000e+01,5.845035605442177040e-01,-5.536151564625850507e-02
6.000000000000000000e+01,5.945179632653061486e-01,-5.575629387755102334e-02
6.100000000000000000e+01,6.045323659863945931e-01,-5.615107210884354161e-02
6.200000000000000000e+01,6.145467687074830376e-01,-5.654585034013605294e-02
6.300000000000000000e+01,6.245611714285714822e-01,-5.694062857142857120e-02
6.400000000000000000e+01,6.345755741496599267e-01,-5.733540680272108947e-02
6.500000000000000000e+01,6.445899768707483712e-01,-5.773018503401360774e-02
6.600000000000000000e+01,6.546043795918368158e-01,-5.812496326530612600e-02
6.700000000000000000e+01,6.646187823129252603e-01,-5.851974149659863733e-02
6.800000000000000000e+01,6.746331850340135938e-01,-5.891451972789115560e-02
6.900000000000000000e+01,6.846475877551020384e-01,-5.930929795918367387e-02
7.000000000000000000e+01,6.946619904761904829e-01,-5.970407619047619213e-02
7.100000000000000000e+01,7.046763931972789274e-01,-6.009885442176871040e-02
7.200000000000000000e+01,7.146907959183673720e-01,-6.049363265306122173e-02
7.300000000000000000e+01,7.247051986394558165e-01,-6.088841088435374693e-02
7.400000000000000000e+01,7.347196013605442610e-01,-6.128318911564625826e-02
7.500000000000000000e+01,7.447340040816327056e-01,-6.167796734693878347e-02
7.600000000000000000e+01,7.547484068027211501e-01,-6.207274557823129479e-02
7.700000000000000000e+01,7.647628095238095947e-01,-6.246752380952381306e-02
7.800000000000000000e+01,7.747772122448980392e-01,-6.286230204081633133e-02
7.900000000000000000e+01,7.847916149659863727e-01,-6.325708027210884266e-02
8.000000000000000000e+01,7.948060176870748172e-01,-6.365185850340135398e-02
8.100000000000000000e+01,8.048204204081632618e-01,-6.404663673469387919e-02
8.200000000000000000e+01,8.148348231292517063e-01,-6.444141496598640440e-02
8.300000000000000000e+01,8.248492258503401509e-01,-6.483619319727890185e-02
8.400000000000000000e+01,8.348636285714285954e-01,-6.523097142857142705e-02
8.500000000000000000e+01,8.448780312925170399e-01,-6.562574965986395226e-02
8.600000000000000000e+01,8.548924340136054845e-01,-6.602052789115646358e-02
8.700000000000000000e+01,8.649068367346939290e-01,-6.641530612244897491e-02
8.800000000000000000e+01,8.749212394557823735e-01,-6.681008435374150012e-02
8.900000000000000000e+01,8.849356421768708181e-01,-6.720486258503402532e-02
9.000000000000000000e+01,8.949500448979592626e-01,-6.759964081632653665e-02
9.100000000000000000e+01,9.049644476190477071e-01,-6.799441904761904798e-02
9.200000000000000000e+01,9.149788503401361517e-01,-6.838919727891157319e-02
9.300000000000000000e+01,9.249932530612243742e-01,-6.878397551020407064e-02
9.400000000000000000e+01,9.350076557823128187e-01,-6.917875374149659584e-02
9.500000000000000000e+01,9.450220585034012633e-01,-6.957353197278912105e-02
9.600000000000000000e+01,9.550364612244897078e-01,-6.996831020408163238e-02
9.700000000000000000e+01,9.650508639455781523e-01,-7.036308843537414370e-02
9.800000000000000000e+01,9.750652666666667079e-01,-7.075786666666666891e-02
9.900000000000000000e+01,9.850796693877551524e-01,-7.115264489795919411e-02
1.000000000000000000e+02,9.950940721088435970e-01,-7.154742312925169156e-02
1.010000000000000000e+02,1.005108474829931930e+00,-7.194220136054421677e-02
1.020000000000000000e+02,1.015122877551020375e+00,-7.233697959183674198e-02
1.030000000000000000e+02,1.025137280272108820e+00,-7.273175782312925330e-02
1.040000000000000000e+02,1.035151682993197264e+00,-7.312653605442176463e-02
1.050000000000000000e+02,1.045166085714285709e+00,-7.352131428571428984e-02
1.060000000000000000e+02,1.055180488435374153e+00,-7.391609251700681504e-02
1.070000000000000000e+02,1.065194891156462376e+00,-7.431087074829931249e-02
1.080000000000000000e+02,1.075209293877550820e+00,-7.470564897959183770e-02
1.090000000000000000e+02,1.085223696598639265e+00,-7.510042721088434903e-02
1.100000000000000000e+02,1.095238099319727709e+00,-7.549520544217686036e-02
1.110000000000000000e+02,1.105252502040816154e+00,-7.588998367346938556e-02
1.120000000000000000e+02,1.115266904761904598e+00,-7.628476190476191077e-02
1.130000000000000000e+02,1.125281307482993043e+00,-7.667954013605442209e-02
1.140000000000000000e+02,1.135295710204081487e+00,-7.707431836734693342e-02
1.150000000000000000e+02,1.145310112925169932e+00,-7.746909659863945863e-02
1.160000000000000000e+02,1.155324515646258376e+00,-7.786387482993198383e-02
1.170000000000000000e+02,1.165338918367346821e+00,-7.825865306122448128e-02
1.180000000000000000e+02,1.175353321088435266e+00,-7.865343129251700649e-02
1.190000000000000000e+02,1.185367723809523710e+00,-7.904820952380953170e-02
1.200000000000000000e+02,1.195382126530612155e+00,-7.944298775510204302e-02
1.210000000000000000e+02,1.205396529251700377e+00,-7.983776598639455435e-02
1.220000000000000000e+02,1.215410931972789044e+00,-8.023254421768707956e-02
1.230000000000000000e+02,1.225425334693877488e+00,-8.062732244897959089e-02
1.240000000000000000e+02,1.235439737414965933e+00,-8.102210068027210221e-02
1.250000000000000000e+02,1.245454140136054377e+00,-8.141687891156462742e-02
1.260000000000000000e+02,1.255468542857142822e+00,-8.181165714285713875e-02
1.270000000000000000e+02,1.265482945578231266e+00,-8.220643537414965007e-02
