# GPR Scan Data - Comprehensive High-Frequency Logging
# Start Time: 20251107_124452
# GPR Velocity (m/s): 0.5
# Log Frequency (Hz): 50.0
# GPR Wheel Radius (m): 0.03
# Fast-LIO Topic: /Odometry_tilt_corrected_diff
# GPR Motor Start Delay: 0.5 s
# Post-Stop Duration: 1.5 s
#
# Timestamp Format: Microseconds (µs) since epoch
# Time Sync: Both fastlio_time_us and gpr_time_us use ROS time
#
# Event Types:
#   KEY_PRESS_START - Scan key pressed, 50Hz logging begins
#   ARDUINO_START - Linear actuator starting
#   PRE_MOTOR - Waiting for motor start (50Hz logging active)
#   GPR_MOTOR_START - GPR motor velocity command sent
#   SCANNING - Normal scanning operation (50Hz logging)
#   KEY_PRESS_STOP - Stop key pressed (50Hz continues)
#   MOTOR_STOPPING - Stopping motor (50Hz continues)
#   POST_STOP - After motor stopped (50Hz continues)
#   ARDUINO_STOP - Linear actuator stopping
#
seq,event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,gpr_position,gpr_velocity,left_position,right_position
0,KEY_PRESS_START,1762537492267472,1762537492266258,2.326732,0.124065,-0.041342,-0.005337,0.119148,0.035221,0.992237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.102112,0.182421
1,ARDUINO_START,1762537492267472,1762537492266258,2.326732,0.124065,-0.041342,-0.005337,0.119148,0.035221,0.992237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.102112,0.182421
2,SCANNING,1762537493370150,1762537494236295,2.332377,0.117955,-0.042880,-0.003924,0.118204,0.031052,0.992496,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.101624,0.239186,20.515715,-22.257126
3,SCANNING,1762537493470176,1762537494243450,2.328611,0.118582,-0.041493,-0.004195,0.117308,0.032357,0.992559,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.100525,-0.224523,20.515717,-22.257118
4,SCANNING,1762537493570143,1762537494253048,2.332692,0.118766,-0.041979,-0.004555,0.116739,0.030188,0.992693,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.102295,0.474542,20.515715,-22.257124
5,SCANNING,1762537493669175,1762537494262698,2.333024,0.119380,-0.038929,-0.004563,0.116388,0.030676,0.992720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.101196,-0.180073,20.515722,-22.257122
6,SCANNING,1762537493770179,1762537494271901,2.331686,0.117426,-0.040245,-0.004438,0.116258,0.030604,0.992738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.102722,0.152841,20.515713,-22.257113
7,SCANNING,1762537493870141,1762537494281127,2.327933,0.118618,-0.036016,-0.003759,0.116953,0.031441,0.992633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.102173,0.076830,20.515717,-22.257114
8,SCANNING,1762537493970059,1762537494291107,2.330305,0.115287,-0.038455,-0.003193,0.117181,0.030551,0.992635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.101013,-0.216432,20.515720,-22.257118
9,SCANNING,1762537494070132,1762537494301093,2.327055,0.116171,-0.038634,-0.003219,0.118397,0.031741,0.992454,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.101562,-0.143730,20.515722,-22.257113
10,SCANNING,1762537494170157,1762537494311100,2.328172,0.113537,-0.039944,-0.003021,0.118372,0.032459,0.992434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.101257,-0.305608,20.515720,-22.257124
11,SCANNING,1762537494270135,1762537494321102,2.326930,0.114767,-0.038865,-0.003508,0.117747,0.032628,0.992501,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.102661,-0.051983,20.515724,-22.257118
12,SCANNING,,1762537494355597,,,,,,,,,,,,,,961.105164,0.155255,20.515720,-22.257122
13,SCANNING,,1762537494365226,,,,,,,,,,,,,,961.121216,1.113802,20.515720,-22.257122
14,SCANNING,,1762537494372903,,,,,,,,,,,,,,961.147156,3.649541,20.515724,-22.257122
15,SCANNING,,1762537494382058,,,,,,,,,,,,,,961.174805,4.246615,20.515720,-22.257122
16,SCANNING,1762537494370164,1762537494393592,2.326170,0.114609,-0.041114,-0.003136,0.117344,0.033156,0.992533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.199341,3.128245,20.515720,-22.257122
17,SCANNING,,1762537494402855,,,,,,,,,,,,,,961.227417,3.728940,20.515720,-22.257122
18,SCANNING,,1762537494411927,,,,,,,,,,,,,,961.253967,4.843360,20.515722,-22.257122
19,SCANNING,,1762537494421112,,,,,,,,,,,,,,961.279846,4.186056,20.515726,-22.257122
20,SCANNING,,1762537494436491,,,,,,,,,,,,,,961.304504,3.791786,20.515717,-22.257118
21,SCANNING,,1762537494456230,,,,,,,,,,,,,,961.360596,3.816217,20.515722,-22.257118
22,SCANNING,,1762537494463332,,,,,,,,,,,,,,961.384216,3.019541,20.515724,-22.257118
23,SCANNING,,1762537494472930,,,,,,,,,,,,,,961.407959,2.722933,20.515724,-22.257118
24,SCANNING,,1762537494482081,,,,,,,,,,,,,,961.435791,3.009290,20.515718,-22.257118
25,SCANNING,1762537494470129,1762537494493706,2.326667,0.115421,-0.040354,-0.004034,0.117695,0.033277,0.992484,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.461670,2.546444,20.515720,-22.257118
26,SCANNING,,1762537494502833,,,,,,,,,,,,,,961.487732,0.959887,20.515724,-22.257118
27,SCANNING,,1762537494512016,,,,,,,,,,,,,,961.516602,1.955651,20.515728,-22.257118
28,SCANNING,,1762537494521172,,,,,,,,,,,,,,961.540955,1.716518,20.515718,-22.257118
29,SCANNING,,1762537494536522,,,,,,,,,,,,,,961.569214,2.803194,20.515717,-22.257122
30,SCANNING,,1762537494553399,,,,,,,,,,,,,,961.624023,2.406146,20.515722,-22.257122
31,SCANNING,,1762537494562888,,,,,,,,,,,,,,961.650757,1.913997,20.515715,-22.257122
32,SCANNING,,1762537494572208,,,,,,,,,,,,,,961.675293,2.620322,20.515720,-22.257122
33,SCANNING,,1762537494581793,,,,,,,,,,,,,,961.698669,2.468334,20.515720,-22.257122
34,SCANNING,1762537494569202,1762537494595496,2.329173,0.111382,-0.041578,-0.003725,0.117720,0.032982,0.992492,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.728638,3.193393,20.515715,-22.257122
35,SCANNING,,1762537494602695,,,,,,,,,,,,,,961.758484,5.033980,20.515718,-22.257122
36,SCANNING,,1762537494611885,,,,,,,,,,,,,,961.782410,5.394680,20.515717,-22.257122
37,SCANNING,,1762537494622034,,,,,,,,,,,,,,961.797058,2.326568,20.515726,-22.257122
38,SCANNING,,1762537494655540,,,,,,,,,,,,,,961.881775,3.034139,20.515717,-22.257116
39,SCANNING,,1762537494664642,,,,,,,,,,,,,,961.909424,4.078521,20.515718,-22.257116
40,SCANNING,,1762537494674258,,,,,,,,,,,,,,961.935303,4.175595,20.515722,-22.257116
41,SCANNING,,1762537494682548,,,,,,,,,,,,,,961.962036,3.511276,20.515724,-22.257116
42,SCANNING,1762537494670023,1762537494695472,2.330490,0.111956,-0.041090,-0.004340,0.117766,0.031841,0.992521,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,961.988708,3.263100,20.515718,-22.257116
43,SCANNING,,1762537494704568,,,,,,,,,,,,,,962.017273,3.896395,20.515718,-22.257116
44,SCANNING,,1762537494714190,,,,,,,,,,,,,,962.043213,2.863063,20.515720,-22.257116
45,SCANNING,,1762537494734571,,,,,,,,,,,,,,962.098938,3.697681,20.515720,-22.257116
46,SCANNING,,1762537494746098,,,,,,,,,,,,,,962.127441,4.191588,20.515718,-22.257116
47,SCANNING,,1762537494755197,,,,,,,,,,,,,,962.152771,4.014294,20.515718,-22.257116
48,SCANNING,,1762537494764348,,,,,,,,,,,,,,962.180481,3.968256,20.515722,-22.257116
49,SCANNING,,1762537494772021,,,,,,,,,,,,,,962.205139,2.952912,20.515722,-22.257116
50,SCANNING,,1762537494781656,,,,,,,,,,,,,,962.235352,3.562333,20.515720,-22.257116
51,SCANNING,1762537494770106,1762537494794238,2.332287,0.114068,-0.043288,-0.004763,0.117780,0.031070,0.992542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,962.263123,4.991004,20.515720,-22.257116
52,SCANNING,,1762537494801909,,,,,,,,,,,,,,962.287476,3.781872,20.515720,-22.257116
53,SCANNING,,1762537494811017,,,,,,,,,,,,,,962.313232,4.169995,20.515718,-22.257116
54,SCANNING,,1762537494822430,,,,,,,,,,,,,,962.339905,4.140156,20.515720,-22.257116
55,GPR_MOTOR_START,,1762537494854622,,,,,,,,,,,,,,962.403198,1.603950,20.515717,-22.257120
56,SCANNING,,1762537494864235,,,,,,,,,,,,,,962.424622,0.450540,20.515722,-22.257120
57,SCANNING,,1762537494871889,,,,,,,,,,,,,,962.453613,2.156463,20.515718,-22.257120
58,SCANNING,,1762537494881087,,,,,,,,,,,,,,962.482727,3.245671,20.515717,-22.257120
59,SCANNING,1762537494870101,1762537494892559,2.330106,0.116581,-0.043356,-0.005037,0.118428,0.031115,0.992462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,962.506775,4.773823,20.515717,-22.257120
60,SCANNING,,1762537494901719,,,,,,,,,,,,,,962.529968,2.776062,20.515717,-22.257120
61,SCANNING,,1762537494910911,,,,,,,,,,,,,,962.552368,2.822541,20.515726,-22.257120
62,SCANNING,,1762537494920149,,,,,,,,,,,,,,962.578979,3.084201,20.515720,-22.257120
63,SCANNING,,1762537494935338,,,,,,,,,,,,,,962.608032,3.983137,20.515724,-22.257118
