# GPR Scan Data - Comprehensive High-Frequency Logging
# Start Time: 20251107_124404
# GPR Velocity (m/s): 0.5
# Log Frequency (Hz): 50.0
# GPR Wheel Radius (m): 0.03
# Fast-LIO Topic: /Odometry_tilt_corrected_diff
# GPR Motor Start Delay: 0.5 s
# Post-Stop Duration: 1.5 s
#
# Timestamp Format: Microseconds (µs) since epoch
# Time Sync: Both fastlio_time_us and gpr_time_us use ROS time
#
# Event Types:
#   KEY_PRESS_START - Scan key pressed, 50Hz logging begins
#   ARDUINO_START - Linear actuator starting
#   PRE_MOTOR - Waiting for motor start (50Hz logging active)
#   GPR_MOTOR_START - GPR motor velocity command sent
#   SCANNING - Normal scanning operation (50Hz logging)
#   KEY_PRESS_STOP - Stop key pressed (50Hz continues)
#   MOTOR_STOPPING - Stopping motor (50Hz continues)
#   POST_STOP - After motor stopped (50Hz continues)
#   ARDUINO_STOP - Linear actuator stopping
#
seq,event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,gpr_position,gpr_velocity,left_position,right_position
0,KEY_PRESS_START,1762537444469963,1762537444474236,0.239839,0.003318,-0.010451,-0.004564,0.128213,0.031653,0.991231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.086914,-0.678325
1,ARDUINO_START,1762537444469963,1762537444474236,0.239839,0.003318,-0.010451,-0.004564,0.128213,0.031653,0.991231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.086914,-0.678325
2,PRE_MOTOR,1762537445570044,1762537446412762,0.239382,0.004654,-0.011599,-0.003205,0.128203,0.031066,0.991256,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.088867,0.219098,15.558445,-17.297688
3,PRE_MOTOR,1762537445669936,1762537446433491,0.239332,0.003484,-0.010547,-0.003579,0.128175,0.031184,0.991255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.086243,-1.279154,15.558451,-17.297686
4,PRE_MOTOR,1762537445769904,1762537446443081,0.239894,0.001480,-0.009942,-0.003771,0.127927,0.031056,0.991290,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.088135,-0.092627,15.558447,-17.297682
5,PRE_MOTOR,1762537445869884,1762537446452758,0.240791,0.000236,-0.008179,-0.004223,0.127811,0.031442,0.991291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.087402,-0.223064,15.558446,-17.297688
6,PRE_MOTOR,1762537445970132,1762537446463634,0.242043,-0.001475,-0.009632,-0.003987,0.128212,0.031506,0.991238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.087769,-0.303195,15.558451,-17.297682
7,PRE_MOTOR,1762537446069978,1762537446473254,0.242301,-0.001665,-0.009922,-0.004188,0.128288,0.031185,0.991238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.087463,-0.303143,15.558452,-17.297686
8,PRE_MOTOR,1762537446169898,1762537446482890,0.242577,0.000537,-0.009096,-0.004357,0.127705,0.030298,0.991340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.088501,-0.140177,15.558450,-17.297686
9,PRE_MOTOR,1762537446270026,1762537446492477,0.243153,0.000193,-0.008302,-0.004118,0.127434,0.030790,0.991360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.088013,-0.267067,15.558448,-17.297684
10,PRE_MOTOR,1762537446369952,1762537446503280,0.242782,0.003135,-0.006639,-0.004013,0.127330,0.030510,0.991383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.088806,-0.150406,15.558452,-17.297680
11,PRE_MOTOR,1762537446469931,1762537446512787,0.240926,0.003595,-0.006645,-0.003809,0.127589,0.030385,0.991354,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.088257,-0.013070,15.558453,-17.297686
12,PRE_MOTOR,,1762537446543485,,,,,,,,,,,,,,924.087585,0.012948,15.558450,-17.297686
13,PRE_MOTOR,,1762537446553064,,,,,,,,,,,,,,924.088501,0.050469,15.558448,-17.297686
14,PRE_MOTOR,,1762537446563296,,,,,,,,,,,,,,924.088562,-0.260153,15.558445,-17.297684
15,PRE_MOTOR,,1762537446572848,,,,,,,,,,,,,,924.087708,-0.214101,15.558446,-17.297684
16,PRE_MOTOR,,1762537446582453,,,,,,,,,,,,,,924.088684,0.353395,15.558450,-17.297684
17,PRE_MOTOR,1762537446569862,1762537446602814,0.240751,0.001512,-0.007769,-0.004334,0.128524,0.030958,0.991214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.088379,-0.165300,15.558451,-17.297684
18,PRE_MOTOR,,1762537446612400,,,,,,,,,,,,,,924.088806,0.039271,15.558445,-17.297684
19,PRE_MOTOR,,1762537446623216,,,,,,,,,,,,,,924.088989,0.149726,15.558440,-17.297684
20,PRE_MOTOR,,1762537446652829,,,,,,,,,,,,,,924.089539,0.505156,15.558449,-17.297684
21,PRE_MOTOR,,1762537446662947,,,,,,,,,,,,,,924.088989,0.384046,15.558443,-17.297680
22,PRE_MOTOR,,1762537446672600,,,,,,,,,,,,,,924.087097,-0.425757,15.558448,-17.297680
23,PRE_MOTOR,,1762537446683192,,,,,,,,,,,,,,924.087219,-0.262031,15.558448,-17.297680
24,PRE_MOTOR,1762537446669957,1762537446702879,0.239368,0.001978,-0.007266,-0.003844,0.128039,0.031760,0.991253,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,924.088318,0.350653,15.558446,-17.297680
25,PRE_MOTOR,,1762537446712509,,,,,,,,,,,,,,924.088318,0.062106,15.558452,-17.297680
26,PRE_MOTOR,,1762537446723168,,,,,,,,,,,,,,924.090271,0.957167,15.558447,-17.297680
27,PRE_MOTOR,,1762537446752839,,,,,,,,,,,,,,924.088562,0.320992,15.558449,-17.297680
28,PRE_MOTOR,,1762537446762893,,,,,,,,,,,,,,924.088379,0.316581,15.558450,-17.297686
29,PRE_MOTOR,,1762537446772457,,,,,,,,,,,,,,924.088867,0.642544,15.558447,-17.297686
30,PRE_MOTOR,,1762537446783165,,,,,,,,,,,,,,924.088501,0.185741,15.558446,-17.297686
