# GPR Scan Data - Comprehensive High-Frequency Logging
# Start Time: 20251107_125025
# GPR Velocity (m/s): 0.5
# Log Frequency (Hz): 50.0
# GPR Wheel Radius (m): 0.03
# Fast-LIO Topic: /Odometry_tilt_corrected_diff
# GPR Motor Start Delay: 0.5 s
# Post-Stop Duration: 1.5 s
#
# Timestamp Format: Microseconds (µs) since epoch
# Time Sync: Both fastlio_time_us and gpr_time_us use ROS time
#
# Event Types:
#   KEY_PRESS_START - Scan key pressed, 50Hz logging begins
#   ARDUINO_START - Linear actuator starting
#   PRE_MOTOR - Waiting for motor start (50Hz logging active)
#   GPR_MOTOR_START - GPR motor velocity command sent
#   SCANNING - Normal scanning operation (50Hz logging)
#   KEY_PRESS_STOP - Stop key pressed (50Hz continues)
#   MOTOR_STOPPING - Stopping motor (50Hz continues)
#   POST_STOP - After motor stopped (50Hz continues)
#   ARDUINO_STOP - Linear actuator stopping
#
seq,event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,gpr_position,gpr_velocity,left_position,right_position
0,KEY_PRESS_START,1762537825036207,1762537825032513,0.005106,-0.002732,0.019265,-0.005327,0.147671,0.082873,0.985544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,991.540344,-0.108255
1,ARDUINO_START,1762537825036207,1762537825032513,0.005106,-0.002732,0.019265,-0.005327,0.147671,0.082873,0.985544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,991.540344,-0.108255
2,PRE_MOTOR,1762537826136218,1762537827011012,0.005747,-0.001340,0.011047,-0.005537,0.146544,0.082181,0.985769,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,991.539917,-0.288285,19.644573,-22.299683
3,PRE_MOTOR,1762537826236199,1762537827031878,0.005173,-0.000752,0.010436,-0.006160,0.146545,0.082781,0.985715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,991.539673,-0.189536,19.644579,-22.299683
4,PRE_MOTOR,1762537826336353,1762537827041521,0.005069,-0.001125,0.013003,-0.006208,0.146736,0.082331,0.985724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,991.540771,0.269155,19.644581,-22.299685
5,PRE_MOTOR,1762537826436202,1762537827051062,0.004268,0.000174,0.015746,-0.006583,0.146316,0.082036,0.985808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,991.541443,0.286112,19.644575,-22.299685
6,PRE_MOTOR,1762537826535859,1762537827060960,0.002043,0.000769,0.015122,-0.006060,0.145961,0.080892,0.985959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,991.540588,0.032447,19.644575,-22.299694
7,PRE_MOTOR,1762537826635785,1762537827071565,-0.000276,0.000200,0.013655,-0.006067,0.146200,0.080221,0.985978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,991.539612,-0.402531,19.644579,-22.299686
8,PRE_MOTOR,1762537826736218,1762537827081131,0.000054,0.000432,0.013862,-0.005454,0.146541,0.080805,0.985884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,991.541748,0.460179,19.644577,-22.299683
9,PRE_MOTOR,1762537826836225,1762537827090964,0.001369,0.001284,0.016121,-0.005635,0.146988,0.081014,0.985799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,991.540283,0.086000,19.644577,-22.299685
