# GPR Scan Data - Comprehensive High-Frequency Logging
# Start Time: 20251107_123726
# GPR Velocity (m/s): 0.5
# Log Frequency (Hz): 50.0
# GPR Wheel Radius (m): 0.03
# Fast-LIO Topic: /Odometry_tilt_corrected_diff
# GPR Motor Start Delay: 0.5 s
# Post-Stop Duration: 1.5 s
#
# Timestamp Format: Microseconds (µs) since epoch
# Time Sync: Both fastlio_time_us and gpr_time_us use ROS time
#
# Event Types:
#   KEY_PRESS_START - Scan key pressed, 50Hz logging begins
#   ARDUINO_START - Linear actuator starting
#   PRE_MOTOR - Waiting for motor start (50Hz logging active)
#   GPR_MOTOR_START - GPR motor velocity command sent
#   SCANNING - Normal scanning operation (50Hz logging)
#   KEY_PRESS_STOP - Stop key pressed (50Hz continues)
#   MOTOR_STOPPING - Stopping motor (50Hz continues)
#   POST_STOP - After motor stopped (50Hz continues)
#   ARDUINO_STOP - Linear actuator stopping
#
seq,event,fastlio_time_us,gpr_time_us,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,vel_lin_x,vel_lin_y,vel_lin_z,vel_ang_x,vel_ang_y,vel_ang_z,gpr_position,gpr_velocity,left_position,right_position
0,KEY_PRESS_START,1762537045956568,1762537045957271,-7.407761,-2.142882,-1.003636,-0.120418,-0.043459,0.973004,-0.192026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059053,0.060712
1,ARDUINO_START,1762537045956568,1762537045957271,-7.407761,-2.142882,-1.003636,-0.120418,-0.043459,0.973004,-0.192026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059053,0.060712
2,PRE_MOTOR,1762537047056600,1762537047905677,-7.409472,-2.139295,-1.003810,-0.119887,-0.044833,0.972920,-0.192466,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059548,0.331985,15.962702,-15.815509
3,PRE_MOTOR,1762537047156639,1762537047925986,-7.410141,-2.140903,-1.004497,-0.119907,-0.045176,0.972930,-0.192325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059222,0.178339,15.962708,-15.815508
4,PRE_MOTOR,1762537047256551,1762537047935668,-7.409470,-2.142404,-1.004168,-0.119640,-0.044477,0.972987,-0.192366,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.058349,0.168120,15.962710,-15.815512
5,PRE_MOTOR,1762537047357295,1762537047945544,-7.407532,-2.142577,-1.004120,-0.119483,-0.044675,0.973027,-0.192213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059676,-0.302753,15.962702,-15.815512
6,PRE_MOTOR,1762537047456788,1762537047955584,-7.407288,-2.144305,-1.004488,-0.119838,-0.044554,0.972904,-0.192646,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059223,-0.232151,15.962709,-15.815504
7,PRE_MOTOR,1762537047556224,1762537047965611,-7.407929,-2.143772,-1.004084,-0.120002,-0.044891,0.972829,-0.192844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.058868,-0.019523,15.962705,-15.815508
8,PRE_MOTOR,1762537047656448,1762537047976064,-7.407661,-2.144085,-1.004234,-0.120235,-0.044594,0.972868,-0.192570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059313,0.124069,15.962705,-15.815517
9,PRE_MOTOR,1762537047756584,1762537047985772,-7.406973,-2.143342,-1.004413,-0.119913,-0.044473,0.972884,-0.192716,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059721,-0.355302,15.962706,-15.815510
10,PRE_MOTOR,1762537047856673,1762537047995534,-7.408170,-2.142945,-1.002716,-0.119777,-0.044182,0.972979,-0.192389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059435,0.112021,15.962708,-15.815512
