x,y,yaw,type
0.2864,4.1034,-0.0444
25.5554,2.9809,-0.0444
25.5099,1.9819,3.0972
0.2474,3.1042,3.0972
0.2084,2.1049,-0.0444
25.4644,0.9829,-0.0444
25.4190,-0.0160,3.0972
0.1694,1.1057,3.0972
0.1304,0.1064,-0.0444
25.3735,-1.0150,-0.0444
25.3280,-2.0140,3.0972
0.0914,-0.8928,3.0972
0.0524,-1.8921,-0.0444
25.2826,-3.0129,-0.0444
25.2371,-4.0119,3.0972
0.0134,-2.8913,3.0972
-0.0257,-3.8906,-0.0444
25.1916,-5.0109,-0.0444
25.1462,-6.0098,3.0972
-0.1346,-4.8867,3.0972
-0.5212,-5.8705,-0.0444
25.1007,-7.0088,-0.0444
25.0552,-8.0078,3.0972
-0.6174,-6.8672,3.0972
-0.6571,-7.8665,-0.0444
25.0098,-9.0067,-0.0444
24.9643,-10.0057,3.0972
-0.6967,-8.8657,3.0972
-0.7364,-9.8649,-0.0444
24.9188,-11.0047,-0.0444
24.8734,-12.0036,3.0972
-0.7761,-10.8641,3.0972
-0.8158,-11.8634,-0.0444
24.8279,-13.0026,-0.0444
24.7825,-14.0016,3.0972
-0.8555,-12.8626,3.0972
-0.8951,-13.8618,-0.0444
24.7370,-15.0005,-0.0444
24.6915,-15.9995,3.0972
-0.9348,-14.8610,3.0972
-0.9745,-15.8603,-0.0444
24.6461,-16.9985,-0.0444
24.6006,-17.9974,3.0972
-1.0142,-16.8595,3.0972
-1.0539,-17.8587,-0.0444
21.7768,-18.8730,-0.0444
20.5497,-19.8194,3.0972
-1.0935,-18.8579,3.0972
-1.1332,-19.8572,-0.0444
20.4770,-20.8172,-0.0444
20.4513,-21.8170,3.0972
-1.1729,-20.8564,3.0972
-1.2126,-21.8556,-0.0444
20.9163,-22.8387,-0.0444
24.3197,-23.9909,3.0972
-1.2522,-22.8548,3.0972
-1.2919,-23.8541,-0.0444
24.2775,-24.9900,-0.0444
24.2353,-25.9891,3.0972
-1.3316,-24.8533,3.0972
-1.4399,-25.8495,-0.0444
24.1931,-26.9882,-0.0444
24.1509,-27.9873,3.0972
-1.5691,-26.8447,3.0972
-1.6982,-27.8399,-0.0444
24.1087,-28.9864,-0.0444
24.0664,-29.9855,3.0972
-1.7701,-28.8377,3.0972
-1.8075,-29.8371,-0.0444
24.0242,-30.9846,-0.0444
23.9820,-31.9837,3.0972
-1.8449,-30.8364,3.0972
-1.8824,-31.8357,-0.0444
23.9398,-32.9829,-0.0444
23.8976,-33.9820,3.0972
-1.9198,-32.8350,3.0972
1.3378,-33.9807,-0.0444
23.8553,-34.9811,-0.0444
23.8131,-35.9802,3.0972
2.0189,-35.0120,3.0972
1.9748,-36.0110,-0.0444
23.7709,-36.9793,-0.0444
23.7287,-37.9784,3.0972
5.1230,-37.1519,3.0972
5.6392,-38.1758,-0.0444
23.6865,-38.9775,-0.0444
23.6443,-39.9766,3.0972
5.6278,-39.1763,3.0972
5.6164,-40.1767,-0.0444
23.6020,-40.9757,-0.0444
